hour,weekday_name,distance_to_next_m,time_gap_hours
9,Friday,0.0,1.8111111111111111
11,Monday,0.0,2.2488888888888887
13,Monday,0.0,2.573888888888889
16,Monday,0.0,2.7202777777777776
18,Tuesday,0.0,1.2161111111111111
7,Thursday,0.0,3.164722222222222
19,Sunday,0.0,14.568333333333333
18,Monday,0.0,1.53
18,Tuesday,0.0,18.62611111111111
12,Wednesday,0.0,1.8072222222222223
14,Wednesday,0.0,70.83027777777778
13,Saturday,0.0,1.7136111111111112
14,Monday,0.0,1.0975
20,Friday,0.0,13.654444444444444
13,Saturday,0.0,2.3672222222222223
9,Wednesday,0.0,1.8697222222222223
13,Thursday,0.0,1.79
23,Thursday,0.0,12.384444444444444
16,Monday,0.0,1.5905555555555555
9,Tuesday,0.0,1.4533333333333334
13,Tuesday,0.0,2.078611111111111
17,Tuesday,0.0,3.0808333333333335
21,Friday,0.0,15.635833333333334
13,Saturday,0.0,5.5875
16,Monday,0.0,1.3416666666666666
11,Tuesday,0.0,1.6497222222222223
18,Monday,0.0,2.5980555555555553
22,Monday,0.0,12.648888888888889
9,Wednesday,0.0,1.9605555555555556
15,Wednesday,0.0,1.32
14,Thursday,0.0,1.968611111111111
20,Thursday,0.0,13.776666666666667
21,Friday,0.0,12.954444444444444
10,Tuesday,0.0,1.271388888888889
13,Thursday,0.0,1.7663888888888888
10,Monday,0.0,1.9358333333333333
13,Tuesday,0.0,2.5933333333333333
16,Tuesday,0.0,2.6644444444444444
20,Tuesday,0.0,15.052222222222222
10,Monday,0.0,2.0455555555555556
15,Tuesday,0.0,1.4241666666666666
10,Wednesday,0.0,5.930555555555555
10,Thursday,0.0,2.055277777777778
17,Thursday,0.0,2.4283333333333332
15,Friday,0.0,1.3408333333333333
21,Friday,0.0,16.820833333333333
17,Saturday,0.0,16.232222222222223
19,Sunday,0.0,14.25611111111111
17,Tuesday,0.0,3.9005555555555556
11,Wednesday,0.0,1.3166666666666667
16,Wednesday,0.0,5.0938888888888885
22,Thursday,0.0,11.11888888888889
9,Friday,0.0,1.808888888888889
21,Sunday,0.0,14.692222222222222
12,Monday,0.0,1.0947222222222222
11,Tuesday,0.0,1.9322222222222223
18,Tuesday,0.0,1.691111111111111
19,Tuesday,0.0,1.4758333333333333
11,Thursday,0.0,1.4091666666666667
13,Thursday,0.0,2.0833333333333335
19,Sunday,0.0,13.864722222222222
11,Monday,0.0,1.0783333333333334
12,Monday,0.0,1.2247222222222223
19,Tuesday,0.0,1.5186111111111111
9,Thursday,0.0,1.6405555555555555
10,Friday,0.0,1.0883333333333334
16,Saturday,0.0,17.886111111111113
10,Sunday,0.0,10.578888888888889
21,Sunday,0.0,13.9375
17,Monday,0.0,2.476111111111111
10,Thursday,0.0,1.0102777777777778
12,Friday,0.0,3.930277777777778
19,Saturday,0.0,1.683888888888889
22,Saturday,0.0,13.169722222222223
20,Sunday,0.0,1.0013888888888889
21,Sunday,0.0,13.81861111111111
17,Monday,0.0,1.985
9,Tuesday,0.0,2.104722222222222
18,Tuesday,0.0,1.5427777777777778
14,Thursday,0.0,2.591388888888889
17,Thursday,0.0,1.0180555555555555
16,Saturday,0.0,1.5038888888888888
12,Monday,0.0,1.795
20,Wednesday,0.0,14.658055555555556
11,Thursday,0.0,1.7527777777777778
13,Thursday,0.0,1.9902777777777778
16,Sunday,0.0,3.913611111111111
22,Tuesday,0.0,11.749722222222223
12,Wednesday,0.0,1.3672222222222221
14,Wednesday,0.0,1.7430555555555556
7,Thursday,0.0,1.9613888888888888
13,Thursday,0.0,1.7805555555555554
13,Saturday,0.0,2.881666666666667
20,Saturday,0.0,14.666666666666666
9,Monday,0.0,1.6225
12,Monday,0.0,1.0802777777777777
12,Tuesday,0.0,2.1169444444444445
16,Tuesday,0.0,1.0652777777777778
17,Tuesday,0.0,17.75722222222222
14,Thursday,0.0,1.356111111111111
12,Friday,0.0,1.8572222222222223
13,Saturday,0.0,2.4644444444444447
17,Monday,0.0,1.8805555555555555
10,Tuesday,0.0,1.1602777777777777
10,Wednesday,0.0,2.2888888888888888
12,Wednesday,0.0,1.0655555555555556
12,Thursday,0.0,1.166111111111111
13,Thursday,0.0,1.0177777777777777
11,Friday,0.0,7.295
12,Saturday,0.0,3.8730555555555557
16,Wednesday,0.0,15.288611111111111
12,Thursday,0.0,1.2466666666666666
11,Friday,0.0,1.5675
0,Monday,0.0,8.836388888888889
20,Monday,0.0,13.48638888888889
9,Tuesday,0.0,1.6930555555555555
11,Tuesday,0.0,1.9183333333333332
14,Thursday,0.0,1.7819444444444446
21,Friday,0.0,12.256666666666666
13,Monday,0.0,2.3113888888888887
20,Monday,0.0,15.350555555555555
