date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2010-03-15,Monday,16,37643.72326913452,30.134936041395434,2,37.64372326913452
2010-03-16,Tuesday,32,44810.7285828199,34.21956436556427,1,44.810728582819905
2010-03-17,Wednesday,11,47368.59848726141,5.65087483243416,1,47.368598487261416
2010-03-18,Thursday,10,99903.73171475825,16.018553590624222,2,99.90373171475825
2010-03-19,Friday,10,36950.74160411958,7.098032943142632,2,36.950741604119585
2010-03-20,Saturday,3,5719.236312652191,0.3887111222917212,1,5.719236312652192
2010-03-21,Sunday,1,6855.337774318637,0.3036246153828288,0,6.855337774318636
2010-03-22,Monday,16,45742.84183884242,21.452001008839275,1,45.742841838842416
2010-03-23,Tuesday,22,50660.66288452505,31.988268080156093,1,50.66066288452505
2010-03-24,Wednesday,5,280424.42009009403,33.102263055206684,0,280.42442009009403
2010-03-25,Thursday,10,235253.6971719138,34.7679181860238,0,235.2536971719138
2010-03-26,Friday,13,39342.17257937924,23.09389210663176,0,39.342172579379245
2010-03-27,Saturday,4,27183.744161274808,8.772517108080406,1,27.18374416127481
2010-03-28,Sunday,2,24110.028116513662,1.701187887279777,0,24.11002811651366
2010-03-29,Monday,7,35701.21016487528,5.26900331726621,0,35.70121016487528
2010-03-30,Tuesday,12,45355.88985664583,8.28089560125103,1,45.35588985664583
2010-03-31,Wednesday,13,39368.736749145435,14.665448971370735,0,39.368736749145434
2010-04-01,Thursday,10,35123.41660311257,15.855511272428933,2,35.123416603112574
2010-04-02,Friday,3,5446.625747624817,0.6856855902659258,1,5.446625747624817
2010-04-03,Saturday,155,84588.17342616188,34.63953019064489,2,84.58817342616189
2010-04-04,Sunday,3,0.0,0.0,2,0.0
2010-04-05,Monday,18,55148.77522246796,12.999788888870349,1,55.148775222467954
2010-04-06,Tuesday,36,44651.85933606839,13.714484153763674,1,44.65185933606839
2010-04-07,Wednesday,10,33314.584762379694,10.695375473120425,0,33.314584762379695
2010-04-08,Thursday,9,148588.76983043415,17.927035698893764,2,148.58876983043416
2010-04-09,Friday,12,32109.666788016242,5.499498088507231,1,32.10966678801624
2010-04-10,Saturday,21,33243.50830455445,81.48981715595609,2,33.24350830455445
2010-04-11,Sunday,2,12895.032221759206,0.41915188643361523,0,12.895032221759205
2010-04-12,Monday,18,34662.50859341638,16.24301870665283,0,34.662508593416376
2010-04-13,Tuesday,14,45346.260481130055,6.57248473533475,0,45.34626048113005
2010-04-14,Wednesday,14,60798.88028179778,16.572316158057717,2,60.79888028179778
2010-04-15,Thursday,17,37246.33408111491,9.12748854342841,2,37.24633408111491
2010-04-16,Friday,13,45204.63094181327,12.070725259931258,0,45.20463094181327
2010-04-17,Saturday,11,20264.4911414164,11.164466069107629,1,20.2644911414164
2010-04-18,Sunday,3,17123.33473347253,0.6863554730705813,0,17.12333473347253
2010-04-19,Monday,13,45485.17714703495,12.112440790493856,2,45.485177147034946
2010-04-20,Tuesday,13,16316.506658696833,7.152006140526963,1,16.316506658696834
2010-04-21,Wednesday,9,137400.47595620938,18.538668798408036,2,137.4004759562094
2010-04-22,Thursday,6,3145.2980780987186,0.1038438573667065,2,3.1452980780987185
2010-04-23,Friday,7,133282.76914183938,12.126027751301496,2,133.28276914183937
2010-04-24,Saturday,135,42536.964688358246,3.0789391015742273,2,42.536964688358246
2010-04-25,Sunday,8,25900.440761386308,21.858647701703095,0,25.900440761386307
2010-04-26,Monday,15,37329.5738620584,24.094020081999755,1,37.3295738620584
2010-05-03,Monday,5,41783.410084986666,6.397490146959781,0,41.78341008498666
2010-05-04,Tuesday,15,39006.69851057426,9.917520654191513,2,39.00669851057426
2010-05-05,Wednesday,17,262392.84662427934,25.58344547597169,1,262.39284662427934
2010-05-06,Thursday,16,32906.86742157721,10.624464633799514,4,32.90686742157721
2010-05-07,Friday,1,0.0,0.0,1,0.0
2010-05-11,Tuesday,20,361042.9241879134,34.0913369123918,3,361.0429241879134
2010-05-12,Wednesday,17,48405.69005697771,36.95739861451258,0,48.40569005697771
2010-05-13,Thursday,25,40458.10925916347,14.160029392178954,2,40.45810925916347
2010-05-14,Friday,10,354927.23995412915,25.975183929700545,0,354.92723995412916
2010-05-15,Saturday,13,327588.59730991203,16.52258760757604,0,327.588597309912
2010-05-16,Sunday,9,20670.560848279365,15.968610246974315,0,20.670560848279365
2010-05-17,Monday,16,34375.25595413577,12.082833811878526,2,34.37525595413577
