hour,weekday_name,distance_to_next_m,time_gap_hours
8,Monday,0.0,1.2405555555555556
8,Wednesday,0.0,1.03
9,Thursday,0.0,1.0305555555555554
14,Thursday,0.0,2.6133333333333333
15,Friday,0.0,1.0638888888888889
14,Monday,0.0,1.313611111111111
11,Tuesday,0.0,1.1797222222222221
10,Wednesday,0.0,1.1466666666666667
14,Friday,0.0,1.0486111111111112
15,Wednesday,0.0,1.2375
14,Friday,0.0,1.156111111111111
15,Monday,0.0,1.0952777777777778
13,Tuesday,0.0,1.8311111111111111
8,Wednesday,0.0,1.1358333333333333
8,Friday,0.0,1.3111111111111111
15,Friday,0.0,1.3469444444444445
17,Friday,0.0,15.985555555555555
11,Tuesday,0.0,2.5469444444444442
14,Tuesday,0.0,46.55027777777778
13,Thursday,0.0,19.48111111111111
12,Friday,0.0,3.7088888888888887
17,Friday,0.0,65.59305555555555
10,Monday,0.0,2.4855555555555555
13,Monday,0.0,24.210833333333333
16,Wednesday,0.0,1.646388888888889
11,Saturday,0.0,1.0508333333333333
18,Monday,0.0,1.6033333333333333
14,Monday,0.0,1.6869444444444444
16,Monday,0.0,15.455277777777777
15,Tuesday,0.0,1.2022222222222223
18,Tuesday,0.0,23.288055555555555
8,Friday,0.0,1.2958333333333334
11,Friday,0.0,1.6725
12,Friday,0.0,1.2352777777777777
13,Friday,0.0,1.5466666666666666
15,Friday,0.0,64.89
8,Monday,0.0,1.255
12,Monday,0.0,2.2155555555555555
15,Monday,0.0,1.023611111111111
12,Tuesday,0.0,1.1580555555555556
13,Tuesday,0.0,1.258888888888889
15,Tuesday,0.0,1.2475
10,Thursday,0.0,1.3258333333333334
11,Friday,0.0,1.0366666666666666
13,Friday,0.0,1.1997222222222221
10,Monday,0.0,1.2216666666666667
9,Thursday,0.0,1.0294444444444444
11,Friday,0.0,2.352777777777778
11,Tuesday,0.0,1.238888888888889
13,Wednesday,0.0,2.046111111111111
14,Monday,0.0,1.2969444444444445
15,Monday,0.0,1.0830555555555557
15,Tuesday,0.0,16.079722222222223
8,Thursday,0.0,2.5719444444444446
14,Thursday,0.0,1.3947222222222222
13,Friday,0.0,1.448888888888889
11,Tuesday,0.0,2.142777777777778
10,Wednesday,0.0,2.0188888888888887
10,Thursday,0.0,1.2102777777777778
11,Friday,0.0,1.0638888888888889
16,Monday,0.0,15.725277777777778
9,Tuesday,0.0,1.5969444444444445
8,Wednesday,0.0,1.1425
14,Wednesday,0.0,1.7513888888888889
16,Wednesday,0.0,15.990277777777777
12,Thursday,0.0,1.4125
15,Thursday,0.0,1.0794444444444444
13,Friday,0.0,2.5661111111111112
8,Monday,0.0,1.8302777777777777
13,Monday,0.0,1.2144444444444444
9,Saturday,0.0,5.381666666666667
11,Monday,0.0,1.0352777777777777
14,Monday,0.0,1.6913888888888888
16,Monday,0.0,2.0730555555555554
12,Wednesday,0.0,1.4158333333333333
14,Monday,0.0,1.42
15,Monday,0.0,15.9975
14,Tuesday,0.0,1.0002777777777778
15,Tuesday,0.0,1.3080555555555555
9,Wednesday,0.0,1.2677777777777777
13,Wednesday,0.0,1.7158333333333333
16,Wednesday,0.0,2.3108333333333335
14,Thursday,0.0,1.1252777777777778
11,Tuesday,0.0,1.0816666666666668
14,Tuesday,0.0,1.415
16,Tuesday,0.0,16.968055555555555
14,Wednesday,0.0,1.256388888888889
16,Thursday,0.0,15.533888888888889
8,Monday,0.0,1.3394444444444444
11,Monday,0.0,1.5641666666666667
16,Wednesday,0.0,15.570555555555556
20,Wednesday,0.0,10.26
7,Thursday,0.0,6.263055555555556
14,Thursday,0.0,17.558333333333334
9,Friday,0.0,1.0347222222222223
17,Monday,0.0,2.3319444444444444
16,Tuesday,0.0,15.356111111111112
9,Wednesday,0.0,1.4058333333333333
16,Wednesday,0.0,15.176388888888889
8,Thursday,0.0,1.3936111111111111
14,Thursday,0.0,1.6002777777777777
15,Thursday,0.0,1.2630555555555556
16,Friday,0.0,2.3694444444444445
12,Saturday,0.0,2.5519444444444446
15,Wednesday,0.0,1.8930555555555555
13,Thursday,0.0,2.1058333333333334
12,Friday,0.0,2.411111111111111
15,Friday,0.0,1.0686111111111112
16,Tuesday,0.0,1.1452777777777778
11,Saturday,0.0,2.3938888888888887
11,Friday,0.0,1.7677777777777777
16,Monday,0.0,15.7575
12,Monday,0.0,1.6175
15,Monday,0.0,1.1383333333333334
16,Wednesday,0.0,15.90611111111111
16,Friday,0.0,2.2797222222222224
16,Tuesday,0.0,15.465555555555556
11,Friday,0.0,1.6294444444444445
18,Friday,0.0,2.6486111111111112
14,Tuesday,0.0,1.4491666666666667
8,Wednesday,0.0,1.2233333333333334
14,Wednesday,0.0,1.0947222222222222
16,Thursday,0.0,15.110555555555555
15,Thursday,0.0,1.5327777777777778
15,Tuesday,0.0,16.608055555555556
13,Monday,0.0,1.013611111111111
16,Tuesday,0.0,17.11138888888889
16,Wednesday,0.0,15.575277777777778
11,Saturday,0.0,32.42194444444444
20,Sunday,0.0,1.2269444444444444
14,Tuesday,0.0,1.1558333333333333
15,Wednesday,0.0,1.258888888888889
16,Monday,0.0,15.304444444444444
16,Thursday,0.0,15.786944444444444
14,Friday,0.0,1.1625
16,Wednesday,0.0,16.753888888888888
14,Friday,0.0,1.6108333333333333
14,Saturday,0.0,5.4125
16,Monday,0.0,15.842222222222222
12,Wednesday,0.0,1.351388888888889
16,Thursday,0.0,15.2725
8,Friday,0.0,2.483888888888889
16,Friday,0.0,21.915277777777778
