date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2013-04-29,Monday,12,185095.43928618892,31.332540687229145,0,185.09543928618893
2013-04-30,Tuesday,41,33079.30907223638,9.76386106070407,0,33.07930907223638
2013-05-02,Thursday,35,16067.621354935904,11.573316217726367,1,16.067621354935902
2013-05-03,Friday,34,35219.76608647937,10.272755408047711,1,35.219766086479375
2013-05-04,Saturday,1,17135.229470304082,0.36122330413120823,0,17.135229470304083
2013-05-06,Monday,46,30280.208968115756,12.061922578700557,0,30.280208968115755
2013-05-07,Tuesday,46,26441.21345940976,7.99090475719048,0,26.44121345940976
2013-05-08,Wednesday,46,20658.37031348902,6.467716685266456,1,20.65837031348902
2013-05-09,Thursday,43,25288.008999991383,11.798088343095259,0,25.288008999991384
2013-05-10,Friday,48,23141.374040790564,3.166074613526217,0,23.141374040790563
2013-05-13,Monday,38,21423.49513991454,14.048155159784992,0,21.42349513991454
2013-05-14,Tuesday,38,19319.777720929793,8.247152218723258,0,19.319777720929793
2013-05-15,Wednesday,64,61388.37207845986,10.399804929378236,1,61.38837207845986
2013-05-16,Thursday,48,26295.887039218553,10.594233004792896,1,26.295887039218552
2013-05-17,Friday,51,53458.668978267,9.652658496489696,0,53.458668978267
2013-05-18,Saturday,5,30709.460050848305,7.479210034033426,0,30.709460050848307
2013-05-20,Monday,33,26823.767847906525,7.70326071105856,1,26.823767847906524
2013-05-21,Tuesday,56,27068.50941666173,8.187557100270539,0,27.06850941666173
2013-05-22,Wednesday,50,29465.15497674945,16.053366399494703,1,29.46515497674945
2013-05-23,Thursday,4,14612.269098487333,1.997457793455496,1,14.612269098487333
2013-05-24,Friday,5,29883.361324892183,7.203951430848714,0,29.88336132489218
2013-05-25,Saturday,4,55266.725977983886,3.5123353358255183,0,55.26672597798389
2013-05-28,Tuesday,6,11152.547974984971,0.9602014416630714,1,11.152547974984971
2013-05-29,Wednesday,26,38777.80652128959,0.7753474037565457,0,38.77780652128959
2013-05-30,Thursday,8,56489.47284000398,2.82418364909131,0,56.489472840003984
2013-05-31,Friday,7,60570.85385207113,23.379486505597868,0,60.57085385207113
2013-06-01,Saturday,2,19521.849361416345,0.5631226384394438,0,19.521849361416347
2013-06-03,Monday,5,2295.374479276558,21.275475559842477,1,2.295374479276558
2013-06-04,Tuesday,3,765.1248264255192,0.010136788903358762,1,0.7651248264255193
2013-06-05,Wednesday,5,69350.94699919602,35.78457325470576,0,69.35094699919603
2013-06-06,Thursday,1,0.0,0.0,1,0.0
2013-06-07,Friday,10,23375.281309807484,13.467902995435853,3,23.375281309807484
2013-06-09,Sunday,3,19545.653455429136,0.15426110615547245,1,19.545653455429136
2013-06-11,Tuesday,4,42959.60646798618,17.194039890389075,1,42.959606467986184
2013-06-12,Wednesday,3,42183.650258765694,5.871956971217155,0,42.183650258765695
2013-06-13,Thursday,5,38873.10122742025,19.91474686324104,0,38.87310122742025
2013-06-14,Friday,7,7176.407381421828,3.6522074493345293,0,7.1764073814218285
2013-06-17,Monday,13,47649.857479012935,10.189643623849769,0,47.64985747901294
2013-06-18,Tuesday,1,765.1248264255192,0.03353236885835518,0,0.7651248264255193
2013-06-19,Wednesday,2,0.0,0.0,2,0.0
2013-06-20,Thursday,2,18851.281290753675,1.075981089408231,0,18.851281290753676
2013-06-21,Friday,5,25111.83990130661,1.6973922608000407,1,25.11183990130661
2013-06-22,Saturday,2,16050.755620827857,0.2505668503910545,0,16.050755620827857
2013-06-23,Sunday,2,8029.476944371557,0.06305404267514539,0,8.029476944371556
2013-06-26,Wednesday,6,18230.122573386478,2.395388607675226,0,18.230122573386478
